artist_name,track_name,release_date,genre,lyrics
My Bloody Valentine,When You Sleep,1991,shoegaze,"When I look at you
Oh, but I don't know what's real
Once in a while
And you make me laugh

And I'll sleep tomorrow
And it won't be long
Won't stand around
Then you take me down
When you walk away

When you say: I do
Oh, but I don't believe you
I can't forget it
No, ooh

When you sleep tomorrow
And it won't be long
Once in a while
When you make me smile
When you turn your long blonde hair

When I look at you
Oh, but I don't know what's real
Once in a while
And you make me laugh

And I'll sleep tomorrow
And it won't be long
Won't stand around
Then you take me down
When you walk away"
My Bloody Valentine,Only Shallow,1991,shoegaze,"Sleep like a pillow
Downward and
Where she won't care
Anyway where

Soft as a pillow
Touch her there
Where she won't dare
Somewhere

Sleep like a royal subject
Think that you grew
Stronger there

Speak your troubles
She's not scared
Soft like there's silk
Everywhere

Sleep is a pillow
Come where she won't dare
Anyway where

Look in the mirror
She's not there
Where she won't care
Somewhere"
My Bloody Valentine,Soon,1990,shoegaze,"Wake up don't fear
I want to love you
Yeah don't go there
I let you get to me
Yeah yeah

Come back don't be afraid of me
Soon that I'll harm you
Your eyes are blue, blue jewels
Yeah yeah

Come back have faith
Someone like you can't find the reason
Of what I did to you
Yeah yeah

Wake up don't fear
I want to love you
Yeah don't go there
I let you get to me
Yeah yeah"
Slowdive,Alison,1993,shoegaze,"Listen close and don't be stoned
I'll be here in the morning
'Cause I'm just floating
Your cigarette still burns
Your messed up world will thrill me
Alison, I'm lost
Alison, I said, ""We're sinking""
There's nothing here, but that's okay
Outside your room, your sister's spinning
But she laughs, tells me she's just fine
I guess she's out there somewhere
And the sailors, they strike poses
TV covered walls, and so slowly
With your talking and your pills
Your messed up life still thrills me
Alison, I'm lost
Alison, I'll drink your wine
And wear your clothes when we're both high
""Alison"", I said, ""We're sinking""
But she laughs and tells me it's just fine
I guess she's out there somewhere"
Slowdive,Souvlaki Space Station,1993,shoegaze,"Closed doors brings open minds (and I don't want to see you)
See you smile inside (and I don't want to know you)
Faces and I've fallen (and I don't want to hear you)
Wonder why I'm here now
In asylum
Don't you see?
In asylum
Don't you see?
Doors close and feelings flow (and I don't want to know you)
Through my mind I feel his (and I don't want to hear you)
Pictures and I've fallen (and I don't want to know you)
Wonder why I'm here now (I promise to be near you)
Curse your soul, I don't wanna hear you
And I, curse your soul, I don't wanna know you
Curse your soul, I don't wanna hear you
And I, curse your soul, I don't wanna know you"
Slowdive,Machine Gun,1993,shoegaze,"See you walking and I know shes my friend, again
Just the weight of the water drags me down, again
Guess I'll think of the water its my friend, oh yea
It's just the way that the water makes me feel again
Son of Sheba I saw him drown
Son of yellow I saw him drown
It's all I need yeah
See you walking and I know shes my friend, again
Just the weight of the water drags me down, again
Guess I'll think of the water its my friend, oh yea
It's just the way that the water makes me feel again
Son of Sheba I saw him drown
Son of yellow I saw him drown
It's all I need yeah"
Ride,Vapour Trail,1990,shoegaze,"First you look so strong then you fade away
The sun will blind my eyes, I love you anyway
Thirsty for your smile, I watch you for a while
You are a vapour trail in a deep blue sky

La-la-la-la, la-la-la-la, la-la-la-la, la-la-la

Tremble with a sigh, glitter in your eye
You seem to come and go, I never seem to know
And all my time is yours as much as mine
We never have enough time to show our love

La-la-la-la, la-la-la-la, la-la-la-la, la-la-la"
Ride,Leave Them All Behind,1992,shoegaze,"Wheels turning around into alien grounds
Pass through different times
Leave them all behind
Leave them all behind
Leave them all behind
Leave them all behind
Leave them all behind
Just to see we've got so far to go
Until we get there, just let it flow
Just let it flow
Just let it flow
Just let it flow
Just let it flow, just let it flow
Ah, ah-ah
Ah, ah-ah
Ah-ah
Ahh
Colours shining clear
Fading into night
Our grasp is broken
There's nothing we can do
I don't care about the colours
I don't care about the light
I don't care about the truth
I don't care about the truth"
Ride,Dreams Burn Down,1990,shoegaze,"Lying under sky, laughing at everything I say
And pulls me under, there's no time to resist
Lying on the floor, the tears are falling down and more
Her eyes speak loud but actions speak the best
Waiting, hoping for a sign that what's forbidden can be mine
I just want what I can't have 'til my dreams burn down and choke me every time
She's effortlessly cool but circumstances can be cruel
And sometimes you must accept that you can't always get what you want
We fill up our days and nights, we fill up the gaps in our empty little lives
But we know we are doomed, the moment we walk out the room
Waiting, hoping for a sign that what's forbidden can be mine
I just want what I can't have 'til my dreams burn down and choke me every time"
Lush,Sweetness and Light,1990,shoegaze,"See my life (I've been so tired)
See myself (I've been uptight)
See my life (I've been so tired)
See my sight (I could disappear)
See with you
Memories fading fast
And with you
It's never going to last
You are the sweetness in my eyes
You are an apple in disguise
See with you
I never seemed to look the other way
Only to stay, only to breathe, only to see
That space and light is what I really need
You are the sweetness in my eyes
You are an apple in disguise
I never wanted to tell lies
You are the sweetness in my eyes
You are the sweetness in my eyes
You are an apple in disguise
You are the juice I need for life
You are the sweetness in my eyes"
Lush,For Love,1992,shoegaze,"Pretty little girl, she shines
Knowing she is young, she smiles
Happy just to be a prize
Happy just to see his smile
Silly little girl, she tries
Thinking she is good, and wise
Doesn't recognise the lies
Pouring from her lips, she sighs:
This is so real,
It's what I feel,
I look in your eyes and lose myself
Silly little girl denies
Every understanding why
Her face is full of sad surprise
Every time she hears him cry:
What do you feel
When you're with me?
I look in your eyes and see myself
But there's no connection,
Just his own reflection
Isn't this the way you wanted me?
(what do you mean?)
In love with you
(what do I feel?)
Do anything
(what do you mean?)
For you
She looked in his eyes to lose herself
And when it falls apart, she cries
Doesn't think to look inside
She just covers up her eyes
Doesn't see her own disguise
And though she feels this sorrow,
It will fade tomorrow
She'll pretend that this was really love
(what do you mean?)
She'll make their fall
(what did I feel?)
Seem beautiful
(what do you mean?)
She won't remember this at all
(what do you mean?)
She won't recall
(what did I feel?)
The truth at all
(what do you mean?)
She wants to fall
(what did I feel?)
Again
(what do you mean?)"
